Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT1G27480	-2.36843312697644	1.43414098776915	-1.41542626730495	0.171807749117678	0.310183911562235	-4.82011559784442
AT3G23580	-0.262852858021998	3.80770063757411	-1.41532710916625	0.171836439882121	0.310209142135403	-5.53647708499737
AT5G37290	0.283000204256795	2.6937499901473	1.41500262271666	0.171930354839696	0.310352104814249	-5.30344880326856
AT5G41000	0.151845445277633	3.74015513617163	1.41467811272331	0.172024317842967	0.310495129731119	-5.50439686806572
AT2G03430	0.222882046523634	3.34441879192889	1.41428257562634	0.172138902765376	0.310675348484086	-5.46539164094882
AT3G45100	0.210532431391284	4.34834187397213	1.41380306426298	0.172277896765061	0.310844737885941	-5.62798221856571
AT3G10980	0.136127221779411	5.4845492504896	1.41379141389871	0.172281274929722	0.310844737885941	-5.78718950559187
AT4G16260	0.43305170172404	6.29969983876916	1.41376097455855	0.172290101437268	0.310844737885941	-5.84163556703774
AT1G24148	-3.23415340508328	-1.25951830652576	-1.41373950540015	0.172296327076033	0.310844737885941	-4.49434945440172
AT4G32180	-0.184941569423622	6.5518387172496	-1.41370446751373	0.172306487770266	0.310844737885941	-5.84702153605322
AT5G42010	-0.59318411562477	3.77542481200138	-1.4134716809662	0.172374006142164	0.31093993235297	-5.49600360437161
AT3G13950	-0.473398017255022	2.45295201781648	-1.41340992344192	0.172391922114895	0.310945642010951	-5.41594852669138
AT3G45240	-0.206385867358118	5.25117267173171	-1.41330911559485	0.172421169871253	0.310971788234601	-5.77350321341222
AT1G68740	0.282982223167148	5.7150704945641	1.41319792273491	0.172453435291139	0.311003372053829	-5.8198468737195
AT4G09920	-1.04830594600577	-2.04584146518993	-1.41300909125025	0.172508240628244	0.311075595589683	-4.52712039297728
AT3G59770	0.122263662859229	7.04988038729066	1.41280393360475	0.172567800222916	0.311156379154825	-5.85260491740424
AT1G62950	0.279451143646492	3.02721549590566	1.41270977075155	0.1725951422958	0.311161277083839	-5.36949113141884
AT1G04210	0.114797415252497	6.34532685773634	1.41269290984744	0.172600038564579	0.311161277083839	-5.84346935452085
AT1G80850	0.212519798569014	3.07975794352341	1.41259814820318	0.172627558646311	0.311184277087757	-5.41419358739104
AT1G11340	-2.02006207021056	-1.8620286171442	-1.41220795437276	0.172740913405906	0.311361988422103	-4.51866996611005
AT3G54590	-0.81229539645384	8.54353372248961	-1.41173921268012	0.172877166008428	0.31158093873612	-5.8503453369248
AT2G42690	-0.653194560924772	4.43501619659805	-1.41167100340989	0.172897000087278	0.311590045468054	-5.63483681501732
AT3G55850	0.213317407673155	5.09521972676482	1.41152514228386	0.172939420114731	0.31163985091627	-5.74970363580688
AT5G11060	-0.667749049144878	2.53587166063377	-1.4111554168611	0.173046982845079	0.311803331105427	-5.27301029611699
